word,number_of_occurences
mačka,5
ľak,5
vyhovárať,5
zakliať,5
stužka,5
blízko,5
trápiť,5
kop,5
sadlo,5
vlások,5
živiť,5
chodievať,5
zahodiť,5
jelenčekovi,5
prisahať,5
osobitný,5
panstvo,5
otázka,5
plánka,5
posekanec,5
pokrútiť,5
vedľa,5
chrasť,5
gajdy,5
mrzieť,5
kramár,5
hnúť,5
temian,5
meno,5
siedmy,5
rohatý,5
odratá;,5
cupy,5
lupa,5
prebiť,5
vlčko,5
zviera,5
záhumnie,5
vystrieť,5
často,5
preboha,5
nedbať,5
brada,5
požičať,5
žito,5
neveriť,5
dozvedieť,5
voľky,5
nevoľky,5
včera,5
kúpať,5
vyvábiť,5
zohnať,5
nato,5
vyrásť,5
živa,5
škorec,5
lietať,5
rozviazať,5
nahý,5
ľad,5
zrno,5
neraz,5
povedzteže,5
zaliať,5
netrápiť,5
strašný,5
kráčať,5
prežehnať,5
oslobodiť,5
inakšie,5
vyhrabať,5
kľúč,5
hla,5
živo,5
zablúdiť,5
kmotrička,5
prikrytý,5
tamtá,5
temer,5
povala,5
misa,5
nijak,5
nadeliť,5
nepomyslieť,5
lomiť,5
dosiaľ,5
kostolík,5
vyplniť,5
pomodliť,5
hostia,5
tichý,5
nocľah,5
rana,5
prehovárať,5
pospať,5
nocovať,5
ožiť,5
poradie,5
prostredný,5
vytešený,5
rozhlásiť,5
mladucha,5
nezhrešiť,5
opiť,5
požičiavať,5
hádka,5
šiť,5
namrzený,5
priateľ,5
nepriateľ,5
nerád,5
mladí,5
ohnisko,5
všakový,5
vystaviť,5
pamiatka,5
hnusný,5
hanba,5
princezky,5
tájdi,5
naspať,5
verný,5
petra,5
čapica,5
opatrovať,5
mlynárka,5
hučať,5
rýnsky,5
rieknuť,5
kaštieľ,5
chudý,5
krásnieť,5
vitaj,5
láska,5
doba,5
hladkať,5
ľudíci,5
cigánstvo,5
hrubý,5
jankovi,5
dach,5
vrábika,5
ískať,5
kate,5
kúriť,5
oproti,5
lampa,5
jastrabík,5
prieprava,5
rota,5
idú;,4
vandrovať,4
temný,4
odtiaľ,4
zletieť,4
zmlieť,4
roh,4
prihotoviť,4
prašťať,4
krhla,4
horúci,4
popol,4
kochu,4
vyhrnúť,4
remeselník,4
stačiť,4
varovať,4
nebiť,4
zahľadieť,4
hustý,4
dunaj,4
ligotať,4
natiahnuť,4
vyliezť,4
zvonku,4
zahroziť,4
vypúšťať,4
zalomiť,4
čupieť,4
poručiť,4
túlať,4
ktovie,4
nahovoriť,4
podoba,4
papuľa,4
ťať,4
napravo,4
nezbadať,4
šibal,4
hoľa,4
mrak,4
bližšie,4
baviť,4
nadísť,4
vydávať,4
povolať,4
putovať,4
hriať,4
najskôr,4
panovať,4
oslepnúť,4
vídať,4
brucho,4
preniesť,4
zrezka,4
vidno,4
starosť,4
vystavať,4
strecha,4
oltár,4
tu;,4
doriecť,4
nestaviť,4
koreň,4
márny,4
povraz,4
vystrájať,4
umkol,4
kedysi,4
zapiť,4
zasmiať,4
odvážiť,4
strán;,4
ponížene,4
galiba,4
zosňal,4
krajec,4
bude;,4
vonkoncom,4
mastný,4
tok,4
neboráčik,4
dunčo,4
hnát,4
svätý,4
ihla,4
popratať,4
žalovať,4
kyjovatých,4
vládať,4
tárať,4
vartovať,4
obchádzať,4
kročiť,4
kasňa,4
smetisko,4
riad,4
struna,4
oblečený,4
ublížiť,4
smiech,4
stráž,4
súci,4
nasilu,4
sen,4
zavadiť,4
zdúpnieť,4
odvláčiť,4
pivnica,4
naložiť,4
tuhé,4
prizrieť,4
kotol,4
smelý,4
rozkazovať,4
najmä,4
odseknúť,4
probovať,4
jed,4
planý,4
prisvedčiť,4
osika,4
nazbierať,4
suchý,4
rážďa,4
piecť,4
nepočuť,4
zlostiť,4
trvalo,4
nazdávať,4
narodiť,4
postáť,4
kačička,4
synček,4
odletieť,4
krásno,4
vykrútiť,4
jeleňacie,4
brúsiť,4
jednostaj,4
kolembať,4
odsúdiť,4
doteraz,4
jabloň,4
zboj,4
naďalej,4
neublížiť,4
stávka,4
vopchať,4
naprázdno,4
žatým,4
vykradnúť,4
večierkom,4
nestať,4
nijaký,4
nehoda,4
navliecť,4
troje,4
kráž,4
kadiť,4
polovica,4
líščí,4
rohami,4
ježko,4
osloviť,4
zgúli,4
plno,4
potichu,4
statočnosť,4
nemilosrdne,4
prisniť,4
všakovak,4
obísť,4
vykračovať,4
smola,4
niekoľko,4
potrebovať,4
neminúť,4
ženička,4
pomáhať,4
ženská,4
dvesto,4
rovnako,4
okamih,4
rozlúčiť,4
žiadosť,4
príhoda,4
minulo,4
pokošaroval,4
vykopať,4
zhodiť,4
podskočiť,4
odlomiť,4
nahnevať,4
toliar,4
dožiť,4
strmý,4
hijó,4
blížiť,4
nevyhútať,4
lak,4
minúť,4
bystrý,4
hnevať,4
náramný,4
neobzerať,4
ráz,4
bezpečne,4
zbohom,4
ohnivý,4
tristo,4
voľačo,4
tuto,4
spopred,4
vypadnúť,4
hotovať,4
zhlboka,4
uvítať,4
nemeškať,4
múdrosť,4
holub,4
práca,4
sladký,4
nebrať,4
nelenivý,4
vezmiteže,4
horský,4
trubač,4
strojiť,4
tresk,4
poriadok,4
poutierať,4
občerstvenie,4
neprichádzať,4
šklbať,4
žrať,4
dochodiť,4
voliť,4
roztrepať,4
platiť,4
uletieť,4
hoci,4
zhorieť,4
svete;,4
zachovať,4
vyvŕšiť,4
schystať,4
ktokoľvek,4
neslýchať,4
prívetivý,4
starec,4
obrúsok,4
vyberaný,4
vínko,4
nič;,4
otrepať,4
kajka,4
neoženiť,4
dierka,4
míňať,4
hodinka,4
preobliecť,4
skadiaľ,4
biela,4
obidva,4
zapáliť,4
jak,4
postruhník,4
maličká,4
pohreb,4
skutok,4
zahučať,4
nerobiť,4
zjednať,4
rúhať,4
kvôli,4
znamenať,4
kopať,4
zaopatriť,4
poznove,4
rosa,4
preplávať,4
predok,4
valaška,4
celo,4
perina,4
bledý,4
slúžiť,4
zapáčiť,4
kuchtu,4
princezkou,4
pobozkať,4
čara,4
odobrať,4
prečítať,4
plačúci,4
než,4
pobiť,4
pokojne,4
rozhnevať,4
jahňa,4
rozdeliť,4
zelená,4
palica,4
bydlo,4
zaliezť,4
koláč,4
nehnevať,4
duchy,4
hlúpy,4
furman,4
hrona,4
hnať,4
úzky,4
košelici,4
znamä,4
prikloniť,4
privolať,4
horieť,4
sudca,4
inokedy,4
strunga,4
omrvinka,4
smutno,4
zostať,4
dvoran,4
premyslieť,4
sedliacky,4
dák,4
prikradnúť,4
prehrať,4
chutne,4
hrkútať,4
kamenný,4
strepotali,4
odjesť,4
zapraviť,4
oblôčik,4
podhodiť,4
mača,4
právať,4
vyhotoviť,4
práčka,4
nepriateliť,4
komorná,4
ďalekosluch,4
urodzený,4
ožrebiť,4
tuhý,3
tretica,3
pristal;,3
svetielko,3
tmavý,3
ech,3
povedajú,3
načrieť,3
narobiť,3
ták,3
kývať,3
bisťuže,3
dade,3
krajčír,3
vystrčiť,3
jedenie,3
harovali,3
odvariť,3
podoprieť,3
vatráľ,3
liezť,3
vojsť,3
poobzerať,3
ukrútiť,3
širica,3
nezdať,3
zaligotať,3
zavaliť,3
gazdovstvo,3
nevyjsť,3
namiesto,3
stráň,3
zelenať,3
prikvitnúť,3
slýchať,3
dúškom,3
šuchnúť,3
hrozný,3
zasiahnuť,3
ohlávka,3
tma,3
kamenie,3
zlomiť,3
mariť,3
púšťať,3
nezostať,3
panský,3
poobliekať,3
veruže,3
kedykoľvek,3
pozdať,3
naučenie,3
nevykonať,3
spodok,3
nemusieť,3
poponáhľať,3
pripekať,3
rovnať,3
ponížiť,3
stroskotať,3
spratať,3
slniečkové,3
obracať,3
rozpajediť,3
zďaleka,3
zvon,3
kostolný,3
sobáš;,3
vrecko,3
družba,3
počiatok,3
nastráchaný,3
cigáň,3
vytlačiť,3
vydržať,3
kôš,3
klásť,3
dudy,3
stroviť,3
utrápený,3
škrabať,3
mráz,3
pozhovieť,3
oblizovať,3
zaťať,3
núkať,3
fara,3
nemyslieť,3
chudák,3
odviesť,3
čudovať,3
vráta,3
rozchichotať,3
múr,3
pomedzi,3
zarevať,3
vydrankať,3
štvrtina,3
kútik,3
spočiatku,3
rozveseliť,3
neostať,3
podpísať,3
rovný,3
kubík,3
paripa,3
smieť,3
dolezlo,3
točiť,3
nerozmýšľať,3
pliesť,3
zablysknúť,3
odchodiť,3
štekať,3
detný,3
slama,3
zahrmieť,3
nevôľa,3
oddávna,3
podvoliť,3
dovliecť,3
švagrík,3
tadiaľ,3
bohzná,3
poskákať,3
naposledok,3
zadebniť,3
pošepkať,3
stoľko,3
naliať,3
tašiel,3
vyberať,3
vystať,3
drviť,3
okrem,3
uvariť,3
obliznúť,3
niečo,3
zajačik,3
upiecť,3
nôž,3
vymyslieť,3
